@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {0,1,2,3}
@ATTRIBUTE futureScore NUMERIC

@DATA
1.0,10.0,12.0,2.0,4.0,7.0,1.0,3.0,29.0,19.0,1,-9.0
1.0,9.0,12.0,1.0,4.0,5.0,1.0,3.0,29.0,19.0,1,-10.0
1.0,8.0,12.0,1.0,5.0,3.0,1.0,3.0,29.0,19.0,1,-11.0
1.0,7.0,12.0,1.0,4.0,3.0,1.0,3.0,29.0,19.0,1,-12.0
1.0,6.0,13.0,1.0,5.0,1.0,1.0,3.0,29.0,19.0,1,187.0
1.0,5.0,13.0,4.0,3.0,5.0,1.0,3.0,29.0,19.0,1,186.0
2.0,5.0,15.0,4.0,4.0,3.0,1.0,3.0,29.0,19.0,3,185.0
3.0,5.0,15.0,5.0,4.0,3.0,1.0,3.0,29.0,19.0,3,184.0
4.0,5.0,15.0,4.0,4.0,1.0,1.0,3.0,29.0,19.0,3,383.0
4.0,4.0,15.0,4.0,8.0,3.0,1.0,3.0,29.0,19.0,1,382.0
4.0,5.0,15.0,4.0,7.0,3.0,1.0,3.0,29.0,19.0,0,381.0
4.0,6.0,15.0,4.0,8.0,3.0,1.0,3.0,29.0,19.0,0,380.0
4.0,7.0,15.0,5.0,8.0,2.0,1.0,3.0,29.0,19.0,0,579.0
4.0,8.0,15.0,6.0,8.0,2.0,1.0,3.0,29.0,19.0,0,578.0
5.0,8.0,15.0,6.0,8.0,2.0,1.0,3.0,29.0,19.0,3,577.0
6.0,8.0,14.0,6.0,9.0,1.0,1.0,3.0,29.0,19.0,0,577.0
9.0,1.0,3.0,9.0,7.0,6.0,1.0,3.0,19.0,12.0,3,99.0
8.0,1.0,3.0,9.0,7.0,7.0,1.0,3.0,19.0,12.0,2,198.0
7.0,1.0,3.0,9.0,8.0,9.0,1.0,3.0,19.0,12.0,2,297.0
6.0,1.0,9.0,9.0,8.0,10.0,1.0,3.0,19.0,12.0,2,396.0
6.0,2.0,12.0,9.0,8.0,9.0,1.0,3.0,19.0,12.0,0,495.0
6.0,3.0,15.0,9.0,7.0,7.0,1.0,3.0,19.0,12.0,0,594.0
6.0,4.0,14.0,9.0,7.0,6.0,1.0,3.0,19.0,12.0,0,693.0
6.0,5.0,14.0,9.0,8.0,6.0,1.0,3.0,19.0,12.0,0,792.0
6.0,6.0,14.0,9.0,8.0,5.0,1.0,3.0,19.0,12.0,0,891.0
6.0,7.0,15.0,9.0,7.0,3.0,1.0,3.0,19.0,12.0,0,890.0
7.0,7.0,3.0,10.0,7.0,3.0,1.0,3.0,19.0,12.0,3,889.0
8.0,7.0,3.0,9.0,7.0,1.0,1.0,3.0,19.0,12.0,3,1088.0
9.0,7.0,11.0,10.0,7.0,1.0,1.0,3.0,19.0,12.0,3,1487.0
10.0,7.0,11.0,10.0,10.0,4.0,1.0,3.0,19.0,12.0,3,1486.0
10.0,8.0,14.0,9.0,10.0,4.0,1.0,3.0,19.0,12.0,0,1585.0
