@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
5,12,31,1,12,4,W
4,12,31,1,11,4,W
4,11,23,1,11,3,S
3,11,23,2,11,1,W
2,11,23,1,7,5,W
3,11,23,1,8,5,E
4,11,23,2,8,5,E
5,11,23,3,8,5,E
6,11,31,4,8,5,E
6,10,27,5,8,3,S
6,9,31,5,9,1,S
5,9,15,9,4,9,W
6,9,31,9,3,9,E
7,9,31,10,3,9,E
8,9,31,10,3,8,E
9,9,31,10,3,7,E
10,9,31,11,3,7,E
11,9,31,12,3,7,E
12,9,31,13,3,7,E
13,9,31,14,3,7,E
14,9,31,14,4,5,E
14,8,31,14,5,3,S
14,7,31,14,6,1,S
12,10,31,13,12,3,X
12,11,31,13,12,3,N
12,12,31,13,13,3,N
12,13,31,13,14,3,N
12,14,15,14,14,3,N
13,14,15,15,14,1,E
14,14,15,12,5,11,E
14,13,31,12,4,11,S
14,12,31,12,3,11,S
14,11,31,12,4,9,S
14,10,31,13,4,7,S
14,9,31,13,3,7,S
14,8,31,14,3,5,S
14,7,31,14,4,3,S
14,6,31,15,4,3,S
15,6,31,15,5,1,E
15,5,31,7,4,9,S
15,4,31,8,4,7,S
14,4,31,8,3,7,W
14,3,23,9,3,5,S
13,3,23,8,3,5,W
12,3,23,7,3,5,W
11,3,23,8,3,3,W
10,3,23,7,3,3,W
9,3,23,7,3,2,W
8,3,23,6,9,8,W
8,4,31,6,10,8,N
8,5,31,6,11,8,N
8,6,31,6,11,7,N
8,7,31,5,11,7,N
8,8,31,4,11,7,N
8,9,31,4,11,6,N
8,10,31,4,12,6,N
8,11,31,4,12,5,N
8,12,31,3,12,5,N
7,12,31,2,12,5,W
6,12,31,1,12,5,W
5,12,31,1,11,5,W
5,11,23,1,12,5,S
5,12,31,1,11,5,N
5,11,23,1,11,4,S
4,11,23,1,12,4,W
4,12,31,1,11,4,N
4,11,23,2,11,2,S
3,11,23,1,11,2,W
2,11,23,1,12,2,W
2,12,31,1,12,1,N
12,10,31,13,12,3,X
12,11,31,13,12,2,N
12,12,31,13,12,2,N
