@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}
@ATTRIBUTE futureScore NUMERIC

@DATA
9,14,7,4,7,12,1,3,19,15,W,568
8,14,7,4,7,11,1,3,19,15,W,567
7,14,3,4,7,10,1,3,19,15,W,566
6,14,3,3,7,10,1,3,19,15,W,565
5,14,3,3,6,10,1,3,19,15,W,564
4,14,3,3,6,9,1,3,19,15,W,563
3,14,7,3,5,9,1,3,19,15,W,562
3,13,14,4,5,9,1,3,19,15,S,561
3,12,14,4,4,9,1,3,19,15,S,560
3,11,14,4,4,8,1,3,19,15,S,559
3,10,15,4,5,6,1,3,19,15,S,558
4,10,7,5,5,6,1,3,19,15,E,557
4,9,15,5,4,6,1,3,19,15,S,556
4,8,15,6,4,6,1,3,19,15,S,555
4,7,14,5,4,4,1,3,19,15,S,554
4,6,15,4,4,2,1,3,19,15,S,553
4,5,15,3,4,2,1,3,19,15,S,552
4,4,15,3,3,2,1,3,19,15,N,552
1,3,9,2,8,6,1,3,8,11,N,-1
1,4,13,1,8,4,1,3,8,11,N,-2
1,5,13,1,9,4,1,3,8,11,N,-3
1,6,13,2,8,3,1,3,8,11,N,96
1,7,13,1,9,2,1,3,8,11,N,95
1,8,13,1,9,1,1,3,8,11,N,394
1,9,13,2,8,2,1,3,8,11,N,393
2,9,15,1,8,2,1,3,8,11,E,592
2,8,15,2,7,1,1,3,8,11,S,791
2,7,15,4,4,6,1,3,8,11,S,790
3,7,15,4,3,6,1,3,8,11,E,789
4,7,15,5,3,6,1,3,8,11,E,788
5,7,15,6,3,6,1,3,8,11,E,787
6,7,15,7,3,4,1,3,8,11,E,786
7,7,14,7,4,3,1,3,8,11,E,785
7,6,14,7,4,3,1,3,8,11,S,784
7,5,14,6,4,1,1,3,8,11,S,783
7,4,14,6,5,3,1,3,8,11,S,782
7,5,14,5,5,1,1,3,8,11,N,782
1,18,5,5,9,13,1,3,29,19,S,-1
1,17,12,6,9,13,1,3,29,19,S,-2
1,16,13,6,10,11,1,3,29,19,S,-3
1,15,13,5,10,9,1,3,29,19,S,-4
1,14,13,5,10,8,1,3,29,19,S,-5
1,13,12,6,10,8,1,3,29,19,S,-6
1,12,13,6,10,7,1,3,29,19,S,-7
1,11,12,6,9,7,1,3,29,19,S,-8
1,10,12,5,9,5,1,3,29,19,S,-9
1,9,12,5,9,4,1,3,29,19,S,-10
1,8,12,6,9,6,1,3,29,19,S,-11
1,7,12,5,9,6,1,3,29,19,S,-12
1,6,13,5,9,7,1,3,29,19,S,-13
2,6,7,5,9,6,1,3,29,19,E,-14
3,6,15,5,8,4,1,3,29,19,E,-15
3,7,13,5,7,2,1,3,29,19,N,-16
4,7,15,5,8,2,1,3,29,19,E,-17
4,8,15,5,8,1,1,3,29,19,N,182
5,8,15,11,4,10,1,3,29,19,E,181
6,8,14,11,4,9,1,3,29,19,E,180
6,7,14,11,5,7,1,3,29,19,S,179
6,6,11,11,6,5,1,3,29,19,S,178
7,6,3,11,7,5,1,3,29,19,E,177
8,6,15,11,6,3,1,3,29,19,E,176
9,6,15,11,7,3,1,3,29,19,E,175
9,7,15,11,8,3,1,3,29,19,N,174
9,8,15,11,8,2,1,3,29,19,N,373
10,8,15,20,5,13,1,3,29,19,E,372
10,9,15,24,10,14,1,3,29,19,N,371
10,10,15,23,10,14,1,3,29,19,N,370
10,11,15,24,10,16,1,3,29,19,N,369
10,12,15,24,9,16,1,3,29,19,N,368
11,12,7,23,9,15,1,3,29,19,E,367
12,12,3,23,9,13,1,3,29,19,E,366
13,12,7,23,10,13,1,3,29,19,E,365
14,12,15,19,4,13,1,3,29,19,E,364
14,11,15,19,5,11,1,3,29,19,S,363
14,10,15,19,5,10,1,3,29,19,S,362
14,9,14,20,5,10,1,3,29,19,S,361
14,8,15,20,5,9,1,3,29,19,S,360
14,7,14,20,4,9,1,3,29,19,S,359
