@RELATION pacmanGameStates

@ATTRIBUTE numActions NUMERIC
@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE numFood NUMERIC
@ATTRIBUTE distFood NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE futureScore NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
1,1,3,19,2,8,6,5,2,0,-1,X
2,1,3,19,3,7,5,5,2,-1,-2,X
3,1,3,19,3,6,4,5,2,-2,-3,X
4,1,3,19,2,6,4,5,2,-3,-4,X
5,1,3,19,1,7,4,5,2,-4,-5,X
6,1,3,19,1,6,3,5,2,-5,-6,X
7,1,3,19,1,6,3,5,2,-6,-7,X
8,1,4,27,1,7,3,5,3,-7,-8,N
9,1,5,27,1,6,1,5,2,-8,191,N
10,1,6,27,3,6,3,5,1,191,290,N
11,1,7,27,3,8,3,4,2,290,289,N
12,2,7,31,3,8,2,4,3,289,288,E
13,3,7,31,4,8,2,4,2,288,287,E
14,4,7,31,3,8,2,4,3,287,286,E
15,4,6,31,3,8,3,4,2,286,285,S
16,4,5,31,2,3,4,4,1,285,384,S
17,3,5,31,2,3,2,3,2,384,583,W
18,2,5,31,2,8,3,3,3,583,582,W
19,1,5,27,2,8,4,3,4,582,581,W
20,1,5,27,1,8,3,3,4,581,580,W
21,1,4,27,2,8,5,3,3,580,579,S
22,1,3,19,2,7,5,3,2,579,578,S
23,1,3,19,2,8,6,3,2,578,577,S
24,1,4,27,2,7,4,3,3,577,576,N
25,1,5,27,3,7,4,3,4,576,575,N
26,1,6,27,4,7,4,3,3,575,574,N
27,1,7,27,4,8,4,3,2,574,573,N
28,2,7,31,3,8,2,3,3,573,572,E
29,3,7,31,3,9,2,3,2,572,571,E
30,4,7,31,3,10,4,3,3,571,570,E
31,5,7,31,4,10,4,3,4,570,569,E
32,5,8,31,4,9,2,3,3,569,568,N
33,5,9,31,5,10,1,3,2,568,567,N
34,4,9,31,3,9,1,3,1,567,866,W
35,3,9,31,6,10,4,2,2,866,865,W
36,2,9,31,5,10,4,2,1,865,864,W
37,2,8,31,4,10,4,2,2,864,863,S
38,2,7,31,3,10,4,2,3,863,862,S
39,3,7,31,3,10,3,2,4,862,861,E
40,3,8,31,4,10,3,2,3,861,860,N
41,3,9,31,4,9,1,2,2,860,859,N
42,3,10,15,4,9,2,2,3,859,858,N
43,3,10,15,4,8,3,2,3,858,857,N
44,4,10,15,4,8,2,2,4,857,856,E
45,5,10,15,3,8,4,2,5,856,855,E
46,5,9,31,4,8,2,2,4,855,854,S
47,5,8,31,4,8,1,2,5,854,853,S
48,5,7,31,3,8,3,2,6,853,852,S
49,4,7,31,3,7,1,2,5,852,852,X
